title,address,floor,madori,fee /yen,management_fee /yen,deposit /yen,gratuity /yen,menseki /m2
東京メトロ半蔵門線 神保町駅 14階建 新築,東京都千代田区神田神保町２,14階,1LDK,165000,10000,165000,165000,30.19
東京メトロ半蔵門線 神保町駅 14階建 新築,東京都千代田区神田神保町２,5階,1LDK,170000,10000,170000,170000,30.86
東京メトロ半蔵門線 神保町駅 14階建 新築,東京都千代田区神田神保町２,8階,1LDK,188000,10000,188000,188000,34.89
東京メトロ半蔵門線 神保町駅 14階建 新築,東京都千代田区神田神保町２,3階,1LDK,190000,12600,190000,190000,34.89
東京メトロ半蔵門線 神保町駅 14階建 新築,東京都千代田区神田神保町２,8階,1LDK,193000,10000,193000,193000,34.89
東京メトロ半蔵門線 神保町駅 14階建 新築,東京都千代田区神田神保町２,13階,1LDK,240000,0,240000,240000,41.54
Nステージ秋葉原,東京都千代田区神田佐久間町３,8階,1K,99000,20000,99000,0,25.5
Nステージ秋葉原,東京都千代田区神田佐久間町３,10階,1K,120000,20000,120000,0,25.5
アルティオドマーニ【Artio Domani】,東京都千代田区内神田３,9階,1K,150000,12000,0,150000,32.58
アルティオドマーニ【Artio Domani】,東京都千代田区内神田３,9階,1K,151000,12000,0,151000,30.21
東京メトロ半蔵門線 九段下駅 14階建 築12年,東京都千代田区九段北１,5階,1K,109000,12000,109000,109000,26.06
東京メトロ半蔵門線 九段下駅 14階建 築12年,東京都千代田区九段北１,2階,1K,115000,14000,115000,115000,26.24
N35 EAST,東京都千代田区岩本町２,8階,ワンルーム,95000,10000,95000,0,24.49
N35 EAST,東京都千代田区岩本町２,7階,1K,111000,10000,111000,0,29.4
ガリシア九段下ライズ,東京都千代田区九段北１,5階,1K,109000,10000,109000,109000,26.06
ガリシア九段下ライズ,東京都千代田区九段北１,6階,1K,114000,15000,114000,114000,26.24
ＪＲ中央線 四ツ谷駅 14階建 築2年,東京都千代田区麹町２,5階,1LDK,305000,16000,0,305000,65.34
プレミアステージ内神田,東京都千代田区内神田２,3階,ワンルーム,132000,10000,132000,132000,33.08
プレミアステージ内神田,東京都千代田区内神田２,9階,ワンルーム,152000,10000,304000,152000,34.73
ＪＲ中央線 水道橋駅 10階建 築9年,東京都千代田区神田三崎町２,5階,1K,97500,10500,0,97500,25.01
ＪＲ山手線 秋葉原駅 15階建 築17年,東京都千代田区神田須田町２,3階,1K,84000,7000,84000,84000,23.08
エクレール平河町,東京都千代田区平河町１,5階,ワンルーム,100000,0,100000,100000,33.65
エクレール平河町,東京都千代田区平河町１,4階,1LDK,129000,10000,129000,129000,35.23
メインステージ神田須田町,東京都千代田区神田須田町１,5階,1K,108000,20000,0,108000,26.59
メインステージ神田須田町,東京都千代田区神田須田町１,8階,1K,109500,20000,0,109500,25.61
メインステージ神田須田町,東京都千代田区神田須田町１,8階,1LDK,180000,20000,0,180000,40.66
メインステージ神田須田町,東京都千代田区神田須田町１,9階,1LDK,180000,20000,0,180000,40.66
メインステージ神田須田町,東京都千代田区神田須田町１,13階,1LDK,190000,20000,0,190000,40.66
東京メトロ銀座線 神田駅 14階建 築8年,東京都千代田区神田須田町１,12階,1LDK,190000,20000,0,190000,40.66
都営新宿線 岩本町駅 8階建 築21年,東京都千代田区神田東松下町,7階,1K,93000,0,93000,93000,22.66
都営新宿線 岩本町駅 8階建 築21年,東京都千代田区神田東松下町,5階,1K,92000,5000,92000,92000,22.78
都営新宿線 岩本町駅 8階建 築21年,東京都千代田区神田東松下町,7階,1K,93000,5000,93000,93000,22.66
エスコート神田岩本町,東京都千代田区岩本町３,7階,1K,82000,13000,0,82000,22.75
CITY CURRENT大手町　シティカレント大手町,東京都千代田区神田錦町１,8階,ワンルーム,97000,10000,97000,97000,24.25
CITY CURRENT大手町　シティカレント大手町,東京都千代田区神田錦町１,9階,ワンルーム,110000,10000,110000,110000,26.95
マーシュフィールド四番町,東京都千代田区四番町,8階,4LDK,550000,20000,550000,1100000,117.58
コンフォリア秋葉原EAST,東京都千代田区東神田２,5階,ワンルーム,136000,6000,136000,0,30.87
コンフォリア秋葉原EAST,東京都千代田区東神田２,3階,1K,139000,6000,139000,0,30.34
コンフォリア秋葉原EAST,東京都千代田区東神田２,5階,1K,140000,6000,140000,0,30.34
コンフォリア秋葉原EAST,東京都千代田区東神田２,4階,1K,140000,6000,140000,0,30.34
コンフォリア秋葉原EAST,東京都千代田区東神田２,11階,ワンルーム,140000,6000,140000,0,30.34
コンフォリア秋葉原EAST,東京都千代田区東神田２,9階,1K,142000,6000,142000,0,30.34
コンフォリア秋葉原EAST,東京都千代田区東神田２,2階,1DK,147000,8000,147000,0,32.83
コンフォリア秋葉原EAST,東京都千代田区東神田２,5階,1LDK,181000,8000,181000,0,42.17
コンフォリア秋葉原EAST,東京都千代田区東神田２,3階,2LDK,248000,10000,248000,0,53.6
コンフォリア秋葉原EAST,東京都千代田区東神田２,2階,2LDK,255000,10000,255000,0,55.83
インペリアル御茶の水,東京都千代田区神田小川町３,2階,ワンルーム,62000,5000,62000,62000,14.84
インペリアル御茶の水,東京都千代田区神田小川町３,4階,ワンルーム,63000,6000,63000,63000,14.84
インペリアル御茶の水,東京都千代田区神田小川町３,3階,ワンルーム,66000,7000,66000,66000,14.84
インペリアル御茶の水,東京都千代田区神田小川町３,8階,ワンルーム,88000,3000,88000,0,26.78
東海西神田マンション,東京都千代田区西神田２,8階,ワンルーム,80000,0,80000,80000,19.34
東海西神田マンション,東京都千代田区西神田２,7階,ワンルーム,76000,5000,76000,0,15.56
東海西神田マンション,東京都千代田区西神田２,6階,ワンルーム,89000,6000,89000,0,21.68
パークハウス三番町,東京都千代田区三番町,13階,3LDK,630000,20000,630000,630000,116.99
プライムアーバン番町,東京都千代田区九段南２,5階,1K,95000,8000,95000,0,22.71
プライムアーバン番町,東京都千代田区九段南２,6階,1K,98000,8000,98000,0,23.3
プライムアーバン番町,東京都千代田区九段南２,5階,1K,98000,8000,98000,98000,22.98
プライムアーバン番町,東京都千代田区九段南２,6階,1K,100000,8000,100000,100000,23.3
プライムアーバン番町,東京都千代田区九段南２,5階,1K,103000,8000,103000,103000,25.36
プライムアーバン番町,東京都千代田区九段南２,7階,ワンルーム,105000,8000,105000,105000,22.71
グランヴィスタ神田練塀町,東京都千代田区神田練塀町,19階,3LDK,580000,0,1160000,0,88.49
